name,age,city,salary,salary_category
priya,20.0,Hyderabad,70000.0,High
priya,20.0,Delhi,70000.0,High
daniyal,25.0,Chennai,60000.0,High
aisha,22.0,Mumbai,70000.0,High
sara,23.0,Pune,60000.0,High
sara,23.0,Bangalore,60000.0,High
priya,21.0,Bangalore,60000.0,High
ali,23.0,Bangalore,40000.0,Low
aisha,20.0,Pune,70000.0,High
priya,21.0,Hyderabad,40000.0,Low
daniyal,20.0,Chennai,70000.0,High
sara,25.0,Pune,50000.0,Medium
john,21.0,Mumbai,70000.0,High
john,20.0,Delhi,70000.0,High
john,23.0,Mumbai,40000.0,Low
john,23.0,Mumbai,40000.0,Low
priya,23.0,Chennai,50000.0,Medium
daniyal,22.0,Bangalore,70000.0,High
sara,23.0,Bangalore,40000.0,Low
aisha,20.0,Mumbai,60000.0,High
rahul,22.0,Chennai,50000.0,Medium
daniyal,22.0,Hyderabad,50000.0,Medium
john,25.0,Pune,70000.0,High
daniyal,25.0,Bangalore,70000.0,High
rahul,20.0,Hyderabad,50000.0,Medium
rahul,22.0,Mumbai,40000.0,Low
karan,24.0,Chennai,70000.0,High
john,21.0,Bangalore,40000.0,Low
ali,20.0,Mumbai,40000.0,Low
ali,21.0,Delhi,60000.0,High
rahul,21.0,Bangalore,40000.0,Low
john,24.0,Hyderabad,50000.0,Medium
priya,22.0,Bangalore,40000.0,Low
karan,22.0,Delhi,40000.0,Low
rahul,23.0,Delhi,40000.0,Low
daniyal,23.0,Delhi,60000.0,High
karan,24.0,Delhi,40000.0,Low
daniyal,24.0,Bangalore,50000.0,Medium
ali,21.0,Mumbai,50000.0,Medium
rahul,25.0,Chennai,70000.0,High
rahul,20.0,Delhi,60000.0,High
daniyal,22.0,Chennai,50000.0,Medium
sara,20.0,Delhi,50000.0,Medium
daniyal,23.0,Bangalore,70000.0,High
ali,22.0,Chennai,50000.0,Medium
rahul,23.0,Delhi,50000.0,Medium
daniyal,23.0,Bangalore,50000.0,Medium
sara,25.0,Mumbai,70000.0,High
john,22.0,Pune,60000.0,High
priya,24.0,Chennai,40000.0,Low
sara,25.0,Delhi,50000.0,Medium
rahul,22.0,Mumbai,60000.0,High
john,23.0,Delhi,60000.0,High
ali,24.0,Bangalore,60000.0,High
sara,22.0,Bangalore,60000.0,High
daniyal,25.0,Bangalore,50000.0,Medium
karan,24.0,Hyderabad,40000.0,Low
aisha,24.0,Hyderabad,50000.0,Medium
karan,21.0,Delhi,60000.0,High
john,23.0,Delhi,70000.0,High
sara,22.0,Bangalore,40000.0,Low
sara,20.0,Bangalore,40000.0,Low
karan,25.0,Chennai,40000.0,Low
john,23.0,Hyderabad,60000.0,High
priya,21.0,Bangalore,40000.0,Low
sara,22.0,Mumbai,50000.0,Medium
daniyal,20.0,Bangalore,70000.0,High
rahul,25.0,Delhi,60000.0,High
rahul,21.0,Hyderabad,40000.0,Low
daniyal,22.0,Bangalore,70000.0,High
john,20.0,Bangalore,60000.0,High
rahul,20.0,Hyderabad,50000.0,Medium
john,23.0,Chennai,40000.0,Low
priya,21.0,Bangalore,40000.0,Low
aisha,20.0,Delhi,50000.0,Medium
karan,25.0,Delhi,70000.0,High
aisha,21.0,Hyderabad,40000.0,Low
rahul,22.0,Delhi,50000.0,Medium
john,22.0,Pune,60000.0,High
sara,20.0,Hyderabad,50000.0,Medium
priya,21.0,Pune,50000.0,Medium
daniyal,20.0,Hyderabad,70000.0,High
ali,24.0,Mumbai,50000.0,Medium
daniyal,20.0,Delhi,40000.0,Low
ali,20.0,Delhi,40000.0,Low
aisha,20.0,Hyderabad,70000.0,High
priya,25.0,Chennai,70000.0,High
daniyal,20.0,Mumbai,70000.0,High
daniyal,22.0,Mumbai,50000.0,Medium
sara,20.0,Delhi,60000.0,High
rahul,20.0,Pune,70000.0,High
ali,22.0,Chennai,40000.0,Low
rahul,22.0,Mumbai,60000.0,High
sara,25.0,Chennai,40000.0,Low
ali,22.0,Hyderabad,50000.0,Medium
karan,25.0,Mumbai,70000.0,High
aisha,21.0,Bangalore,70000.0,High
aisha,25.0,Hyderabad,70000.0,High
john,23.0,Hyderabad,50000.0,Medium
daniyal,22.0,Chennai,70000.0,High
john,20.0,Pune,70000.0,High
sara,25.0,Mumbai,50000.0,Medium
priya,21.0,Delhi,70000.0,High
karan,22.0,Mumbai,40000.0,Low
john,20.0,Bangalore,60000.0,High
sara,25.0,Delhi,70000.0,High
daniyal,21.0,Delhi,60000.0,High
john,24.0,Chennai,60000.0,High
ali,20.0,Hyderabad,50000.0,Medium
priya,20.0,Mumbai,70000.0,High
john,25.0,Hyderabad,40000.0,Low
aisha,22.0,Bangalore,70000.0,High
karan,21.0,Delhi,60000.0,High
karan,23.0,Mumbai,40000.0,Low
john,22.0,Hyderabad,40000.0,Low
rahul,24.0,Mumbai,60000.0,High
aisha,25.0,Hyderabad,70000.0,High
sara,25.0,Delhi,70000.0,High
karan,21.0,Pune,60000.0,High
aisha,22.0,Chennai,50000.0,Medium
sara,20.0,Delhi,60000.0,High
karan,25.0,Pune,60000.0,High
rahul,23.0,Hyderabad,50000.0,Medium
ali,23.0,Delhi,70000.0,High
sara,21.0,Bangalore,60000.0,High
ali,21.0,Chennai,40000.0,Low
rahul,25.0,Chennai,50000.0,Medium
daniyal,22.0,Hyderabad,50000.0,Medium
ali,24.0,Hyderabad,50000.0,Medium
karan,21.0,Hyderabad,40000.0,Low
daniyal,24.0,Pune,50000.0,Medium
ali,25.0,Delhi,60000.0,High
priya,21.0,Bangalore,70000.0,High
ali,20.0,Bangalore,70000.0,High
priya,24.0,Delhi,70000.0,High
karan,23.0,Delhi,40000.0,Low
sara,23.0,Chennai,70000.0,High
karan,20.0,Delhi,40000.0,Low
karan,24.0,Hyderabad,70000.0,High
sara,25.0,Pune,60000.0,High
karan,25.0,Bangalore,60000.0,High
daniyal,23.0,Pune,60000.0,High
john,20.0,Mumbai,50000.0,Medium
sara,23.0,Mumbai,60000.0,High
ali,24.0,Bangalore,70000.0,High
sara,24.0,Chennai,50000.0,Medium
sara,24.0,Delhi,60000.0,High
karan,24.0,Mumbai,70000.0,High
priya,22.0,Hyderabad,60000.0,High
john,25.0,Chennai,60000.0,High
rahul,21.0,Mumbai,60000.0,High
aisha,21.0,Pune,40000.0,Low
sara,23.0,Mumbai,50000.0,Medium
karan,24.0,Pune,70000.0,High
aisha,20.0,Hyderabad,40000.0,Low
john,22.0,Chennai,40000.0,Low
sara,25.0,Delhi,60000.0,High
daniyal,25.0,Chennai,50000.0,Medium
sara,22.0,Bangalore,70000.0,High
sara,22.0,Pune,70000.0,High
sara,22.0,Chennai,70000.0,High
daniyal,22.0,Hyderabad,60000.0,High
rahul,23.0,Pune,60000.0,High
aisha,23.0,Delhi,50000.0,Medium
aisha,25.0,Hyderabad,40000.0,Low
aisha,23.0,Delhi,70000.0,High
priya,23.0,Mumbai,40000.0,Low
aisha,23.0,Bangalore,50000.0,Medium
john,24.0,Mumbai,70000.0,High
daniyal,21.0,Hyderabad,60000.0,High
john,21.0,Bangalore,50000.0,Medium
ali,24.0,Hyderabad,60000.0,High
john,24.0,Delhi,70000.0,High
john,20.0,Chennai,40000.0,Low
ali,24.0,Hyderabad,40000.0,Low
priya,22.0,Hyderabad,70000.0,High
john,21.0,Bangalore,40000.0,Low
john,23.0,Pune,70000.0,High
karan,25.0,Delhi,50000.0,Medium
aisha,20.0,Bangalore,70000.0,High
priya,23.0,Chennai,50000.0,Medium
sara,24.0,Bangalore,50000.0,Medium
rahul,22.0,Chennai,40000.0,Low
daniyal,24.0,Pune,70000.0,High
aisha,24.0,Mumbai,40000.0,Low
john,22.0,Chennai,60000.0,High
karan,21.0,Chennai,40000.0,Low
daniyal,24.0,Bangalore,40000.0,Low
priya,21.0,Chennai,60000.0,High
daniyal,20.0,Chennai,50000.0,Medium
john,20.0,Bangalore,70000.0,High
daniyal,21.0,Hyderabad,60000.0,High
rahul,23.0,Mumbai,50000.0,Medium
daniyal,25.0,Delhi,60000.0,High
priya,21.0,Pune,70000.0,High
john,22.0,Hyderabad,60000.0,High
john,23.0,Pune,50000.0,Medium
priya,20.0,Hyderabad,40000.0,Low
daniyal,25.0,Hyderabad,40000.0,Low
john,20.0,Mumbai,70000.0,High
priya,21.0,Delhi,60000.0,High
ali,22.0,Mumbai,70000.0,High
sara,24.0,Pune,50000.0,Medium
daniyal,23.0,Chennai,40000.0,Low
priya,25.0,Hyderabad,60000.0,High
aisha,21.0,Bangalore,60000.0,High
sara,24.0,Pune,50000.0,Medium
priya,22.0,Hyderabad,60000.0,High
rahul,22.0,Chennai,50000.0,Medium
john,21.0,Bangalore,40000.0,Low
priya,25.0,Bangalore,50000.0,Medium
sara,21.0,Pune,40000.0,Low
rahul,22.0,Mumbai,60000.0,High
john,23.0,Pune,60000.0,High
rahul,21.0,Mumbai,60000.0,High
daniyal,25.0,Hyderabad,70000.0,High
rahul,24.0,Hyderabad,50000.0,Medium
priya,21.0,Bangalore,70000.0,High
sara,21.0,Chennai,40000.0,Low
daniyal,24.0,Pune,50000.0,Medium
karan,25.0,Mumbai,40000.0,Low
sara,20.0,Delhi,70000.0,High
ali,22.0,Hyderabad,50000.0,Medium
priya,21.0,Bangalore,60000.0,High
john,24.0,Delhi,70000.0,High
priya,22.0,Delhi,40000.0,Low
daniyal,23.0,Hyderabad,40000.0,Low
john,25.0,Delhi,70000.0,High
sara,22.0,Chennai,50000.0,Medium
john,20.0,Mumbai,50000.0,Medium
sara,21.0,Chennai,40000.0,Low
ali,22.0,Delhi,40000.0,Low
john,22.0,Mumbai,70000.0,High
aisha,24.0,Chennai,70000.0,High
aisha,24.0,Mumbai,60000.0,High
ali,22.0,Delhi,70000.0,High
rahul,22.0,Mumbai,40000.0,Low
rahul,24.0,Bangalore,60000.0,High
ali,25.0,Chennai,70000.0,High
john,20.0,Pune,50000.0,Medium
john,20.0,Bangalore,70000.0,High
priya,24.0,Hyderabad,50000.0,Medium
sara,22.0,Delhi,40000.0,Low
rahul,24.0,Hyderabad,70000.0,High
priya,21.0,Delhi,70000.0,High
rahul,23.0,Mumbai,70000.0,High
rahul,21.0,Pune,50000.0,Medium
daniyal,25.0,Chennai,50000.0,Medium
daniyal,22.0,Pune,40000.0,Low
rahul,20.0,Delhi,40000.0,Low
daniyal,24.0,Bangalore,60000.0,High
ali,21.0,Pune,70000.0,High
john,24.0,Mumbai,40000.0,Low
rahul,20.0,Pune,40000.0,Low
daniyal,25.0,Mumbai,50000.0,Medium
daniyal,25.0,Chennai,70000.0,High
john,22.0,Pune,70000.0,High
karan,24.0,Mumbai,40000.0,Low
john,24.0,Delhi,60000.0,High
ali,24.0,Hyderabad,40000.0,Low
ali,20.0,Bangalore,40000.0,Low
ali,22.0,Bangalore,70000.0,High
karan,21.0,Pune,40000.0,Low
karan,20.0,Chennai,70000.0,High
priya,23.0,Mumbai,70000.0,High
karan,25.0,Pune,40000.0,Low
karan,24.0,Pune,70000.0,High
sara,20.0,Hyderabad,40000.0,Low
ali,20.0,Hyderabad,40000.0,Low
priya,20.0,Bangalore,70000.0,High
ali,21.0,Bangalore,70000.0,High
sara,24.0,Chennai,40000.0,Low
john,25.0,Mumbai,40000.0,Low
sara,24.0,Chennai,70000.0,High
john,20.0,Pune,40000.0,Low
john,21.0,Mumbai,60000.0,High
priya,25.0,Pune,60000.0,High
ali,21.0,Delhi,50000.0,Medium
aisha,20.0,Chennai,70000.0,High
karan,23.0,Mumbai,50000.0,Medium
daniyal,25.0,Delhi,70000.0,High
sara,21.0,Pune,50000.0,Medium
john,25.0,Hyderabad,40000.0,Low
john,25.0,Mumbai,70000.0,High
daniyal,20.0,Chennai,70000.0,High
karan,22.0,Bangalore,50000.0,Medium
daniyal,25.0,Hyderabad,50000.0,Medium
rahul,25.0,Mumbai,70000.0,High
ali,20.0,Hyderabad,60000.0,High
sara,25.0,Mumbai,70000.0,High
ali,22.0,Mumbai,60000.0,High
daniyal,25.0,Hyderabad,70000.0,High
priya,22.0,Pune,40000.0,Low
karan,23.0,Mumbai,50000.0,Medium
sara,20.0,Hyderabad,50000.0,Medium
daniyal,25.0,Mumbai,60000.0,High
karan,22.0,Bangalore,70000.0,High
priya,20.0,Chennai,40000.0,Low
ali,21.0,Hyderabad,60000.0,High
karan,21.0,Mumbai,50000.0,Medium
john,25.0,Mumbai,50000.0,Medium
karan,23.0,Hyderabad,50000.0,Medium
karan,24.0,Hyderabad,70000.0,High
daniyal,24.0,Mumbai,40000.0,Low
john,20.0,Chennai,40000.0,Low
aisha,23.0,Pune,70000.0,High
john,21.0,Pune,40000.0,Low
john,22.0,Mumbai,70000.0,High
sara,24.0,Mumbai,40000.0,Low
karan,24.0,Delhi,70000.0,High
ali,23.0,Chennai,50000.0,Medium
ali,25.0,Chennai,50000.0,Medium
ali,25.0,Bangalore,60000.0,High
priya,20.0,Chennai,70000.0,High
ali,25.0,Hyderabad,50000.0,Medium
sara,22.0,Mumbai,60000.0,High
ali,24.0,Bangalore,60000.0,High
daniyal,20.0,Bangalore,70000.0,High
ali,20.0,Hyderabad,50000.0,Medium
priya,24.0,Pune,70000.0,High
priya,25.0,Bangalore,70000.0,High
sara,24.0,Delhi,50000.0,Medium
aisha,20.0,Pune,40000.0,Low
daniyal,20.0,Chennai,50000.0,Medium
ali,24.0,Delhi,60000.0,High
ali,22.0,Hyderabad,40000.0,Low
daniyal,22.0,Pune,70000.0,High
rahul,25.0,Hyderabad,60000.0,High
ali,24.0,Chennai,60000.0,High
john,25.0,Hyderabad,40000.0,Low
aisha,23.0,Pune,40000.0,Low
rahul,25.0,Delhi,40000.0,Low
rahul,21.0,Hyderabad,40000.0,Low
karan,25.0,Hyderabad,60000.0,High
aisha,24.0,Delhi,40000.0,Low
aisha,20.0,Mumbai,60000.0,High
aisha,25.0,Pune,70000.0,High
aisha,24.0,Bangalore,60000.0,High
priya,25.0,Chennai,40000.0,Low
priya,21.0,Hyderabad,50000.0,Medium
ali,25.0,Chennai,40000.0,Low
john,21.0,Pune,50000.0,Medium
rahul,25.0,Hyderabad,50000.0,Medium
daniyal,23.0,Bangalore,50000.0,Medium
priya,22.0,Hyderabad,60000.0,High
sara,25.0,Pune,70000.0,High
sara,20.0,Hyderabad,70000.0,High
daniyal,23.0,Delhi,40000.0,Low
ali,23.0,Hyderabad,60000.0,High
daniyal,22.0,Chennai,60000.0,High
rahul,22.0,Pune,50000.0,Medium
aisha,24.0,Mumbai,40000.0,Low
ali,24.0,Bangalore,50000.0,Medium
karan,22.0,Pune,40000.0,Low
karan,20.0,Mumbai,50000.0,Medium
karan,25.0,Delhi,50000.0,Medium
rahul,22.0,Chennai,40000.0,Low
priya,20.0,Bangalore,40000.0,Low
daniyal,21.0,Hyderabad,40000.0,Low
aisha,21.0,Chennai,60000.0,High
john,22.0,Pune,40000.0,Low
ali,25.0,Chennai,60000.0,High
priya,20.0,Bangalore,60000.0,High
aisha,22.0,Hyderabad,50000.0,Medium
sara,21.0,Mumbai,70000.0,High
john,20.0,Pune,70000.0,High
rahul,25.0,Pune,60000.0,High
rahul,22.0,Chennai,70000.0,High
priya,25.0,Pune,70000.0,High
rahul,21.0,Delhi,60000.0,High
sara,23.0,Pune,70000.0,High
priya,25.0,Chennai,70000.0,High
rahul,24.0,Delhi,60000.0,High
aisha,20.0,Delhi,50000.0,Medium
priya,24.0,Mumbai,70000.0,High
daniyal,25.0,Hyderabad,70000.0,High
karan,20.0,Mumbai,70000.0,High
sara,20.0,Chennai,50000.0,Medium
priya,20.0,Bangalore,70000.0,High
aisha,23.0,Bangalore,60000.0,High
karan,23.0,Chennai,70000.0,High
daniyal,24.0,Delhi,60000.0,High
rahul,25.0,Bangalore,50000.0,Medium
sara,23.0,Hyderabad,50000.0,Medium
priya,22.0,Chennai,40000.0,Low
sara,20.0,Hyderabad,50000.0,Medium
priya,21.0,Chennai,60000.0,High
karan,22.0,Mumbai,60000.0,High
priya,24.0,Chennai,40000.0,Low
sara,22.0,Pune,50000.0,Medium
ali,23.0,Pune,40000.0,Low
john,24.0,Pune,50000.0,Medium
priya,24.0,Mumbai,70000.0,High
sara,23.0,Hyderabad,60000.0,High
ali,20.0,Pune,50000.0,Medium
daniyal,22.0,Bangalore,40000.0,Low
daniyal,20.0,Mumbai,70000.0,High
ali,23.0,Hyderabad,50000.0,Medium
daniyal,25.0,Hyderabad,60000.0,High
daniyal,25.0,Pune,60000.0,High
john,23.0,Delhi,40000.0,Low
aisha,21.0,Pune,50000.0,Medium
karan,20.0,Chennai,70000.0,High
john,24.0,Delhi,60000.0,High
priya,21.0,Delhi,50000.0,Medium
john,23.0,Pune,40000.0,Low
aisha,21.0,Mumbai,50000.0,Medium
rahul,20.0,Pune,40000.0,Low
sara,25.0,Bangalore,50000.0,Medium
ali,22.0,Chennai,50000.0,Medium
priya,25.0,Delhi,60000.0,High
karan,20.0,Chennai,50000.0,Medium
sara,20.0,Delhi,70000.0,High
john,20.0,Mumbai,40000.0,Low
john,21.0,Chennai,40000.0,Low
aisha,23.0,Chennai,50000.0,Medium
priya,23.0,Hyderabad,40000.0,Low
priya,23.0,Pune,50000.0,Medium
sara,24.0,Delhi,40000.0,Low
john,25.0,Mumbai,40000.0,Low
priya,25.0,Hyderabad,40000.0,Low
priya,23.0,Chennai,70000.0,High
daniyal,25.0,Hyderabad,40000.0,Low
sara,21.0,Chennai,60000.0,High
john,23.0,Mumbai,60000.0,High
sara,21.0,Bangalore,50000.0,Medium
priya,23.0,Hyderabad,40000.0,Low
aisha,21.0,Mumbai,40000.0,Low
karan,24.0,Hyderabad,60000.0,High
daniyal,25.0,Chennai,40000.0,Low
daniyal,23.0,Bangalore,50000.0,Medium
john,25.0,Chennai,70000.0,High
karan,22.0,Delhi,40000.0,Low
rahul,23.0,Bangalore,50000.0,Medium
karan,20.0,Pune,60000.0,High
aisha,21.0,Hyderabad,70000.0,High
rahul,25.0,Bangalore,60000.0,High
ali,25.0,Mumbai,70000.0,High
aisha,23.0,Bangalore,70000.0,High
aisha,21.0,Delhi,40000.0,Low
karan,23.0,Hyderabad,50000.0,Medium
daniyal,20.0,Pune,60000.0,High
daniyal,23.0,Chennai,70000.0,High
karan,21.0,Bangalore,50000.0,Medium
john,23.0,Mumbai,40000.0,Low
aisha,21.0,Mumbai,70000.0,High
sara,20.0,Pune,70000.0,High
john,21.0,Chennai,70000.0,High
daniyal,21.0,Mumbai,40000.0,Low
aisha,21.0,Pune,40000.0,Low
rahul,22.0,Delhi,40000.0,Low
daniyal,25.0,Pune,70000.0,High
john,23.0,Delhi,70000.0,High
ali,24.0,Delhi,70000.0,High
rahul,20.0,Delhi,60000.0,High
ali,25.0,Pune,60000.0,High
daniyal,23.0,Mumbai,40000.0,Low
aisha,25.0,Chennai,60000.0,High
john,23.0,Delhi,50000.0,Medium
aisha,25.0,Bangalore,50000.0,Medium
daniyal,21.0,Bangalore,40000.0,Low
sara,24.0,Bangalore,50000.0,Medium
karan,25.0,Hyderabad,50000.0,Medium
karan,20.0,Mumbai,50000.0,Medium
john,23.0,Delhi,70000.0,High
john,22.0,Mumbai,50000.0,Medium
karan,22.0,Chennai,60000.0,High
sara,22.0,Hyderabad,70000.0,High
john,25.0,Delhi,60000.0,High
aisha,20.0,Chennai,70000.0,High
karan,23.0,Pune,60000.0,High
priya,24.0,Pune,70000.0,High
karan,25.0,Mumbai,40000.0,Low
aisha,20.0,Chennai,50000.0,Medium
aisha,22.0,Bangalore,60000.0,High
rahul,24.0,Mumbai,70000.0,High
aisha,20.0,Delhi,60000.0,High
rahul,21.0,Pune,70000.0,High
daniyal,25.0,Bangalore,50000.0,Medium
priya,24.0,Bangalore,50000.0,Medium
sara,25.0,Delhi,50000.0,Medium
daniyal,24.0,Bangalore,50000.0,Medium
ali,21.0,Delhi,60000.0,High
sara,23.0,Pune,70000.0,High
aisha,24.0,Bangalore,70000.0,High
daniyal,23.0,Bangalore,60000.0,High
john,23.0,Pune,60000.0,High
rahul,20.0,Delhi,60000.0,High
daniyal,25.0,Mumbai,50000.0,Medium
john,21.0,Delhi,70000.0,High
ali,21.0,Hyderabad,50000.0,Medium
ali,25.0,Pune,70000.0,High
daniyal,22.0,Mumbai,60000.0,High
ali,20.0,Pune,40000.0,Low
daniyal,24.0,Mumbai,70000.0,High
ali,22.0,Mumbai,70000.0,High
daniyal,24.0,Hyderabad,60000.0,High
aisha,20.0,Pune,60000.0,High
john,20.0,Pune,70000.0,High
john,23.0,Hyderabad,70000.0,High
aisha,21.0,Mumbai,50000.0,Medium
aisha,22.0,Pune,60000.0,High
daniyal,21.0,Chennai,70000.0,High
aisha,21.0,Pune,70000.0,High
daniyal,20.0,Chennai,50000.0,Medium
karan,25.0,Hyderabad,70000.0,High
daniyal,21.0,Bangalore,60000.0,High
rahul,20.0,Bangalore,60000.0,High
karan,22.0,Chennai,50000.0,Medium
sara,23.0,Chennai,70000.0,High
rahul,24.0,Mumbai,60000.0,High
ali,22.0,Pune,70000.0,High
aisha,23.0,Delhi,40000.0,Low
karan,21.0,Delhi,40000.0,Low
aisha,23.0,Mumbai,50000.0,Medium
priya,22.0,Chennai,60000.0,High
daniyal,23.0,Delhi,50000.0,Medium
karan,24.0,Bangalore,60000.0,High
rahul,20.0,Chennai,40000.0,Low
sara,24.0,Hyderabad,60000.0,High
karan,21.0,Chennai,70000.0,High
rahul,24.0,Mumbai,70000.0,High
rahul,20.0,Bangalore,50000.0,Medium
sara,23.0,Delhi,70000.0,High
aisha,25.0,Mumbai,50000.0,Medium
daniyal,22.0,Delhi,50000.0,Medium
aisha,21.0,Bangalore,50000.0,Medium
karan,24.0,Mumbai,70000.0,High
sara,23.0,Chennai,70000.0,High
priya,24.0,Chennai,40000.0,Low
karan,21.0,Delhi,70000.0,High
aisha,20.0,Hyderabad,60000.0,High
priya,24.0,Pune,60000.0,High
sara,24.0,Bangalore,60000.0,High
priya,25.0,Chennai,70000.0,High
ali,20.0,Mumbai,50000.0,Medium
ali,21.0,Mumbai,60000.0,High
ali,25.0,Bangalore,40000.0,Low
sara,25.0,Mumbai,60000.0,High
aisha,21.0,Chennai,50000.0,Medium
sara,20.0,Chennai,60000.0,High
priya,25.0,Delhi,40000.0,Low
aisha,25.0,Mumbai,40000.0,Low
sara,23.0,Bangalore,70000.0,High
john,22.0,Delhi,70000.0,High
sara,21.0,Hyderabad,60000.0,High
karan,24.0,Hyderabad,60000.0,High
karan,21.0,Delhi,50000.0,Medium
john,21.0,Hyderabad,60000.0,High
rahul,22.0,Mumbai,60000.0,High
john,23.0,Chennai,70000.0,High
rahul,20.0,Chennai,70000.0,High
sara,25.0,Bangalore,60000.0,High
priya,22.0,Delhi,50000.0,Medium
ali,20.0,Chennai,40000.0,Low
karan,23.0,Delhi,70000.0,High
priya,22.0,Mumbai,50000.0,Medium
aisha,22.0,Chennai,40000.0,Low
ali,22.0,Chennai,40000.0,Low
sara,25.0,Chennai,60000.0,High
karan,21.0,Pune,70000.0,High
sara,23.0,Delhi,50000.0,Medium
karan,21.0,Mumbai,60000.0,High
daniyal,20.0,Hyderabad,70000.0,High
rahul,25.0,Chennai,70000.0,High
daniyal,24.0,Delhi,60000.0,High
daniyal,20.0,Chennai,40000.0,Low
